[2026-05-31 22:32:49.232171] DNS SPOOF DETECTED | Domain: beacons2.gvt2.com. | Trusted IP: 2607:f8b0:4003:c19::5e | Received IP: 142.250.178.35
[2026-05-31 22:33:32.349876] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 2606:4700:9c62:7dbc:43dd:4cd:5ff2:75c4
[2026-05-31 22:33:53.953798] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 142.250.182.67
[2026-05-31 22:33:53.962340] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 2404:6800:4007:83a::2003
[2026-05-31 22:34:43.033599] DNS SPOOF DETECTED | Domain: waa-pa.clients6.google.com. | Trusted IP: 142.251.220.106 | Received IP: 2404:6800:4007:83a::200a
[2026-05-31 22:34:43.041470] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 2404:6800:4007:808::200e
[2026-05-31 22:35:28.455885] DNS SPOOF DETECTED | Domain: www.google.com. | Trusted IP: 142.251.157.119 | Received IP: 2001:4860:4829:7700::
[2026-05-31 22:35:28.466930] DNS SPOOF DETECTED | Domain: www.google.com. | Trusted IP: 142.251.157.119 | Received IP: 142.251.155.119
[2026-05-31 22:35:35.340522] DNS SPOOF DETECTED | Domain: github.com. | Trusted IP: 64:ff9b::14cf:4952 | Received IP: 20.207.73.82
[2026-05-31 22:35:35.361483] DNS SPOOF DETECTED | Domain: api.github.com. | Trusted IP: 20.207.73.85 | Received IP: 64:ff9b::14cf:4955
[2026-05-31 22:35:36.635747] DNS SPOOF DETECTED | Domain: optimizationguide-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 216.239.32.223
[2026-05-31 22:35:36.798875] DNS SPOOF DETECTED | Domain: github.githubassets.com. | Trusted IP: 185.199.111.215 | Received IP: 2606:50c0:8000::215
[2026-05-31 22:35:37.448232] DNS SPOOF DETECTED | Domain: avatars.githubusercontent.com. | Trusted IP: 2606:50c0:8001::154 | Received IP: 185.199.109.133
[2026-05-31 22:35:37.552842] DNS SPOOF DETECTED | Domain: user-images.githubusercontent.com. | Trusted IP: 2606:50c0:8000::154 | Received IP: 185.199.108.133
[2026-05-31 22:35:51.909982] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 2606:4700:9c62:7cbc:c2c6:4cb:5ff2:75c4
[2026-05-31 22:37:41.071663] DNS SPOOF DETECTED | Domain: github.com. | Trusted IP: 64:ff9b::14cf:4952 | Received IP: 20.207.73.82
[2026-05-31 22:38:13.946547] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 104.18.32.47
[2026-05-31 22:38:14.037527] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 2606:4700:9c62:7dbc:47dd:4cb:5ff2:75c4
[2026-05-31 22:38:53.983072] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 2404:6800:4007:810::2003
[2026-05-31 22:38:53.990877] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 142.250.182.67
[2026-05-31 22:39:41.527067] DNS SPOOF DETECTED | Domain: clientservices.googleapis.com. | Trusted IP: 2404:6800:4007:830::200e | Received IP: 142.251.220.110
[2026-05-31 22:39:43.947406] DNS SPOOF DETECTED | Domain: waa-pa.clients6.google.com. | Trusted IP: 142.251.220.106 | Received IP: 2404:6800:4007:83b::200a
[2026-05-31 22:39:43.953350] DNS SPOOF DETECTED | Domain: waa-pa.clients6.google.com. | Trusted IP: 142.251.220.106 | Received IP: 142.250.183.170
[2026-05-31 22:39:43.960344] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 2404:6800:4007:80c::200e
[2026-05-31 22:39:43.967503] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 142.250.182.78
[2026-05-31 22:41:39.032471] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 2606:4700:9c62:7cbc:c2c6:4cc:5ff2:75c4
[2026-05-31 22:43:18.182603] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 104.18.32.47
[2026-05-31 22:43:18.337508] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 2606:4700:9c62:7cbc:c2c6:4cb:5ff2:75c4
[2026-05-31 22:43:18.342891] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 2606:4700:9c62:7cbc:c2c6:4cb:5ff2:75c4
[2026-05-31 22:43:53.908761] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 2404:6800:4007:835::2003
[2026-05-31 22:43:53.912906] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 142.251.222.195
[2026-05-31 22:44:44.905129] DNS SPOOF DETECTED | Domain: waa-pa.clients6.google.com. | Trusted IP: 142.251.220.106 | Received IP: 2404:6800:4007:833::200a
[2026-05-31 22:44:44.910404] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 2404:6800:4007:80c::200e
[2026-05-31 22:44:44.916016] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 142.250.182.78
[2026-05-31 22:44:44.926368] DNS SPOOF DETECTED | Domain: waa-pa.clients6.google.com. | Trusted IP: 142.251.220.106 | Received IP: 142.251.221.170
[2026-05-31 22:45:25.244092] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 2606:4700:9c62:7cbc:c2c6:4d1:5ff2:75c4
[2026-05-31 22:45:25.251127] DNS SPOOF DETECTED | Domain: chatgpt.com. | Trusted IP: 172.64.155.209 | Received IP: 104.18.32.47
[2026-06-01 09:25:52.733303] DNS SPOOF DETECTED | Domain: update.googleapis.com. | Trusted IP: 142.250.77.110 | Received IP: 2404:6800:4007:83b::200e
[2026-06-01 09:25:52.739337] DNS SPOOF DETECTED | Domain: update.googleapis.com. | Trusted IP: 142.250.77.110 | Received IP: 2404:6800:4007:83b::200e
[2026-06-01 09:32:33.991902] DNS SPOOF DETECTED | Domain: signalrp2-relayhub-prod-as01-2.service.signalr.net. | Trusted IP: 20.195.65.193 | Received IP: 2603:1040:5:3::1d
[2026-06-01 09:53:04.607552] DNS SPOOF DETECTED | Domain: tzm.protechts.net. | Trusted IP: 64:ff9b::2224:49f6 | Received IP: 34.36.73.246
[2026-06-01 09:53:06.937428] DNS SPOOF DETECTED | Domain: signalrp2-relayhub-prod-as03-2.service.signalr.net. | Trusted IP: 20.192.44.82 | Received IP: 2603:1040:a06:3::13
[2026-06-01 09:53:07.071748] DNS SPOOF DETECTED | Domain: signalrp2-relayhub-prod-as03-2.service.signalr.net. | Trusted IP: 20.192.44.82 | Received IP: 2603:1040:a06:3::13
[2026-06-01 10:01:15.588750] DNS SPOOF DETECTED | Domain: tzm.protechts.net. | Trusted IP: 64:ff9b::2224:49f6 | Received IP: 34.36.73.246
[2026-06-01 10:02:35.070141] DNS SPOOF DETECTED | Domain: clientservices.googleapis.com. | Trusted IP: 2404:6800:4007:830::200e | Received IP: 142.251.220.110
[2026-06-01 10:02:35.071823] DNS SPOOF DETECTED | Domain: clientservices.googleapis.com. | Trusted IP: 2404:6800:4007:830::200e | Received IP: 142.251.220.110
[2026-06-01 10:02:35.087240] DNS SPOOF DETECTED | Domain: clientservices.googleapis.com. | Trusted IP: 2404:6800:4007:830::200e | Received IP: 2404:6800:4007:82f::200e
[2026-06-01 10:02:35.102276] DNS SPOOF DETECTED | Domain: oauthaccountmanager.googleapis.com. | Trusted IP: 2001:4860:4802:34::223 | Received IP: 216.239.38.223
[2026-06-01 10:02:35.102116] DNS SPOOF DETECTED | Domain: clientservices.googleapis.com. | Trusted IP: 2404:6800:4007:830::200e | Received IP: 2404:6800:4007:82f::200e
[2026-06-01 10:02:35.112116] DNS SPOOF DETECTED | Domain: oauthaccountmanager.googleapis.com. | Trusted IP: 2001:4860:4802:34::223 | Received IP: 2001:4860:4802:32::223
[2026-06-01 10:02:35.138478] DNS SPOOF DETECTED | Domain: oauthaccountmanager.googleapis.com. | Trusted IP: 2001:4860:4802:34::223 | Received IP: 216.239.38.223
[2026-06-01 10:02:35.215075] DNS SPOOF DETECTED | Domain: oauthaccountmanager.googleapis.com. | Trusted IP: 2001:4860:4802:34::223 | Received IP: 2001:4860:4802:32::223
[2026-06-01 10:02:35.385757] DNS SPOOF DETECTED | Domain: www.google.com. | Trusted IP: 142.251.157.119 | Received IP: 2001:4860:482b:7700::
[2026-06-01 10:02:35.391400] DNS SPOOF DETECTED | Domain: www.google.com. | Trusted IP: 142.251.157.119 | Received IP: 2001:4860:482b:7700::
[2026-06-01 10:02:35.479840] DNS SPOOF DETECTED | Domain: www.google.com. | Trusted IP: 142.251.157.119 | Received IP: 142.251.156.119
[2026-06-01 10:02:35.488310] DNS SPOOF DETECTED | Domain: accounts.google.com. | Trusted IP: 192.178.211.84 | Received IP: 2404:6800:4000:1025::54
[2026-06-01 10:02:35.506644] DNS SPOOF DETECTED | Domain: www.google.com. | Trusted IP: 142.251.157.119 | Received IP: 142.251.156.119
[2026-06-01 10:02:35.536374] DNS SPOOF DETECTED | Domain: accounts.google.com. | Trusted IP: 192.178.211.84 | Received IP: 2404:6800:4000:1025::54
[2026-06-01 10:02:35.702297] DNS SPOOF DETECTED | Domain: publicsuffix.org. | Trusted IP: 2600:1901:0:4c10:: | Received IP: 34.160.122.198
[2026-06-01 10:02:35.709148] DNS SPOOF DETECTED | Domain: publicsuffix.org. | Trusted IP: 2600:1901:0:4c10:: | Received IP: 34.160.122.198
[2026-06-01 10:02:36.318872] DNS SPOOF DETECTED | Domain: ogads-pa.clients6.google.com. | Trusted IP: 2404:6800:4007:834::200a | Received IP: 142.251.222.170
[2026-06-01 10:02:36.319091] DNS SPOOF DETECTED | Domain: ogads-pa.clients6.google.com. | Trusted IP: 2404:6800:4007:834::200a | Received IP: 142.251.222.170
